"TM","WD","WSPD","WS_GST","VIS","RVR1","RVR2","RVR3","RVR4","WC","TMP","TD","PS","PA","RN","HM","CA_TOT","CLA_1LYR","BASE_1LYR","CLF_1LYR","CLA_2LYR","BASE_2LYR","CLF_2LYR","CLA_3LYR","BASE_3LYR","CLF_3LYR","CLA_4LYR","BASE_4LYR","CLF_4LYR"
"2018083124","32","6","","","","","","","","210","192","10127","10044","","90","","","","","","","","","","","","",""
"2018090101","30","6","","","","","","","","209","197","10130","10047","","93","","","","","","","","","","","","",""
"2018090102","29","5","","","","","","","","205","197","10132","10049","","96","","","","","","","","","","","","",""
"2018090103","31","6","","","","","","","","205","188","10131","10048","","90","","","","","","","","","","","","",""
"2018090104","26","5","","","","","","","","201","184","10132","10049","","90","","","","","","","","","","","","",""
"2018090105","30","6","","","","","","","","205","173","10133","10050","","82","","","","","","","","","","","","",""
"2018090106","28","5","","","","","","","","201","182","10141","10057","15","89","","","","","","","","","","","","",""
"2018090107","31","2","","","","","","","","212","193","10146","10063","","89","","","","","","","","","","","","",""
"2018090108","9","4","","1000","","","","","","230","192","10149","10066","","79","5","4","30","6","5","100","3","","","","","",""
"2018090109","9","7","","1000","","","","","","237","194","10152","10069","","77","4","2","15","7","4","30","6","","","","","",""
"2018090110","9","6","","1000","","","","","","241","197","10155","10072","","77","3","3","30","6","","","","","","","","",""
"2018090111","9","8","","1000","","","","","","239","180","10158","10075","","70","3","3","30","6","","","","","","","","",""
"2018090112","8","7","","1000","","","","","","242","171","10156","10073","","65","3","2","30","6","3","100","3","","","","","",""
"2018090113","7","5","","1000","","","","","","242","181","10151","10068","","69","2","2","30","6","","","","","","","","",""
"2018090114","8","5","","1000","","","","","","243","180","10148","10065","","68","2","2","30","6","","","","","","","","",""
"2018090115","7","5","","1000","","","","","","237","180","10148","10065","","71","5","5","30","6","","","","","","","","",""
"2018090116","9","7","","1000","","","","","","228","177","10147","10064","","73","3","3","30","6","","","","","","","","",""
"2018090117","9","6","","1000","","","","","","223","173","10146","10063","","74","4","4","30","6","","","","","","","","",""
"2018090118","10","4","","1000","","","","","","213","174","10146","10063","","79","4","4","30","6","","","","","","","","",""
"2018090119","12","3","","1000","","","","","","205","173","10149","10065","","82","4","4","30","6","","","","","","","","",""
"2018090120","14","2","","1000","","","","","","205","178","10156","10072","","85","5","5","30","6","","","","","","","","",""
"2018090121","21","1","","","","","","","","205","182","10160","10076","","87","","","","","","","","","","","","",""
"2018090122","12","3","","","","","","","","203","180","10160","10076","","87","","","","","","","","","","","","",""
"2018090123","9","3","","","","","","","","206","171","10156","10072","","80","","","","","","","","","","","","",""
"2018090124","13","1","","","","","","","","206","166","10151","10067","","78","","","","","","","","","","","","",""
"2018090201","25","6","","","","","","","","199","176","10147","10063","","87","","","","","","","","","","","","",""
"2018090202","25","5","","","","","","","","187","172","10145","10061","","91","","","","","","","","","","","","",""
"2018090203","25","5","","","","","","","","182","168","10146","10062","","92","","","","","","","","","","","","",""
"2018090204","28","5","","","","","","","","178","167","10143","10059","","93","","","","","","","","","","","","",""
"2018090205","24","6","","","","","","","","173","157","10142","10058","","91","","","","","","","","","","","","",""
"2018090206","24","6","","","","","","","","168","148","10143","10059","","89","","","","","","","","","","","","",""
"2018090207","24","6","","","","","","","","180","150","10144","10060","","83","","","","","","","","","","","","",""
"2018090208","24","4","","1000","","","","","","209","159","10140","10057","","73","3","2","30","6","3","180","0","","","","","",""
"2018090209","31","2","","1000","","","","","","228","163","10135","10052","","67","3","2","30","6","3","180","0","","","","","",""
"2018090210","6","4","","1000","","","","","","230","163","10133","10050","","66","3","2","30","6","3","180","0","","","","","",""
"2018090211","6","5","","1000","","","","","","231","167","10130","10047","","67","3","2","30","6","3","180","0","","","","","",""
"2018090212","6","5","","1000","","","","","","231","164","10124","10041","","66","3","2","30","6","3","180","0","","","","","",""
"2018090213","6","5","","1000","","","","","","232","166","10116","10033","","67","3","2","30","6","3","180","0","","","","","",""
"2018090214","7","3","","1000","","","","","","235","165","10113","10030","","65","4","3","30","6","4","180","0","","","","","",""
"2018090215","10","5","","1000","","","","","","224","163","10108","10025","","69","4","3","30","6","4","180","0","","","","","",""
"2018090216","11","5","","1000","","","","","","215","167","10108","10025","","74","6","4","30","6","6","180","0","","","","","",""
"2018090217","15","5","","1000","","","","","","216","168","10106","10023","","74","6","4","30","6","6","180","0","","","","","",""
"2018090218","15","4","","1000","","","","","","210","166","10105","10022","","76","7","5","30","6","7","180","0","","","","","",""
"2018090219","19","3","","1000","","","","","","200","168","10104","10021","","82","7","5","30","6","7","180","0","","","","","",""
"2018090220","24","3","","1000","","","","","","198","169","10105","10022","","83","7","5","30","6","7","180","0","","","","","",""
"2018090221","24","2","","1000","","","","","","194","169","10105","10022","","86","7","5","30","6","7","180","0","","","","","",""
"2018090222","23","3","","1000","","","","","","191","171","10097","10014","","88","7","5","30","6","7","180","0","","","","","",""
"2018090223","24","4","","1000","","","","","","189","172","10093","10010","","90","7","5","30","6","7","180","0","","","","","",""
"2018090224","22","3","","","","","","","","190","172","10084","10001","","90","","","","","","","","","","","","",""
"2018090301","28","3","","","","","","","","191","171","10081","9998","","89","","","","","","","","","","","","",""
"2018090302","27","3","","","","","","","","186","171","10077","9994","","91","","","","","","","","","","","","",""
"2018090303","30","5","","","","","","","","193","173","10076","9993","","88","","","","","","","","","","","","",""
"2018090304","28","4","","","","","","","","197","172","10069","9986","","86","","","","","","","","","","","","",""
"2018090305","27","4","","","","","","","","197","172","10067","9984","","86","","","","","","","","","","","","",""
"2018090306","29","5","","","","","","","","200","172","10068","9985","","84","","","","","","","","","","","","",""
"2018090307","27","4","","","","","","","","199","177","10066","9983","","88","","","","","","","","","","","","",""
"2018090308","26","4","","1000","","","","","","203","185","10062","9979","","90","7","5","30","6","7","100","4","","","","","",""
"2018090309","29","4","","1000","","","","","61","206","186","10063","9980","0","88","7","5","30","6","7","100","4","","","","","",""
"2018090310","29","5","","1000","","","","","21","208","186","10061","9978","0","88","7","5","30","6","7","100","4","","","","","",""
"2018090311","31","3","","1000","","","","","","219","185","10050","9968","","81","7","5","30","6","7","100","4","","","","","",""
"2018090312","34","2","","1000","","","","","","221","190","10037","9955","","83","7","5","30","6","7","100","4","","","","","",""
"2018090313","3","2","","1000","","","","","61","216","191","10033","9951","0","86","7","5","30","6","7","100","4","","","","","",""
"2018090314","34","4","","1000","","","","","61","215","193","10025","9943","0","87","8","5","30","6","8","100","4","","","","","",""
"2018090315","35","5","","1000","","","","","21","217","194","10017","9935","0","87","8","5","30","6","8","100","4","","","","","",""
"2018090316","1","3","","1000","","","","","","218","199","10010","9928","","89","8","5","30","6","8","100","4","","","","","",""
"2018090317","33","4","","1000","","","","","61","205","200","10007","9925","15","97","8","3","10","7","5","25","6","8","80","4","","",""
"2018090318","34","4","","1000","","","","","61","204","201","10000","9918","0","99","8","3","10","7","5","25","6","8","80","4","","",""
"2018090319","33","4","","1000","","","","","63","202","200","9997","9915","25","99","8","3","10","7","5","25","6","8","80","4","","",""
"2018090320","26","2","","300","","","","","65","198","196","9999","9917","105","99","8","3","10","7","5","25","6","8","80","4","","",""
